	s176	s184	s193	s237	s325	REF_GCF_000012825	REF_GCF_000178195	REF_GCF_000273295	REF_GCF_000403235	REF_GCF_000699705	REF_GCF_000699845	REF_GCF_000699865	REF_GCF_001404375	REF_GCF_001405155	REF_GCF_001406315	REF_GCF_001412315	REF_GCF_001640865	REF_GCF_900109635
g001826	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
g001827	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
g001828	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001829	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
g001830	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
g001831	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1
g001832	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g001833	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
g001834	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
g001835	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
g001836	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
g001837	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	1
g001838	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g001839	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1
g001840	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
g001841	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
g001842	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001843	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001844	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001845	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g001846	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g001847	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001848	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001849	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001850	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001851	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001852	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001853	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001854	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
g001855	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g001856	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g001857	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g001858	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g001859	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1
g001860	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
g001861	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g001862	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	0	0	0
g001863	0	1	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0
g001864	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
g001865	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g001866	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001867	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001868	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001869	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001870	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001871	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001872	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001873	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001874	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001875	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001876	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001877	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001878	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001879	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001880	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
g001881	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001882	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001883	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001884	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001885	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g001886	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001887	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g001888	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001889	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001890	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001891	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001892	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001893	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001894	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
g001895	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001896	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
g001897	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001898	1	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0
g001899	1	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0
g001900	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001901	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001902	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g001903	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001904	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001905	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g001906	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001907	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001908	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001909	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001910	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001911	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001912	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001913	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001914	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001915	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001916	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001917	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001918	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001919	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
g001920	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001921	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001922	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001923	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001924	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001925	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001926	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001927	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001928	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001929	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001930	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001931	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001932	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001933	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001934	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001935	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
g001936	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001937	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001938	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001939	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001940	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001941	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001942	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001943	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001944	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001945	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001946	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001947	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001948	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001949	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001950	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001951	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001952	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001953	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001954	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001955	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001956	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001957	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001958	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001959	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001960	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001961	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001962	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001963	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001964	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001965	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001966	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001967	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001968	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001969	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001970	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001971	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001972	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001973	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001974	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001975	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001976	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001977	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
g001978	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g001979	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001980	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001981	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0
g001982	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0
g001983	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1
g001984	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0
g001985	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1
g001986	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
g001987	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	0	1
g001988	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001989	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001990	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001991	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001992	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001993	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001994	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001995	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001996	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001997	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001998	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g001999	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002000	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002001	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002002	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002003	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
g002004	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0
g002005	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
g002006	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0
g002007	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
g002008	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0
g002009	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g002010	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
g002011	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g002012	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
g002013	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
g002014	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
g002015	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
g002016	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0
g002017	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0
g002018	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
g002019	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
g002020	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	1	1	1
g002021	1	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1
g002022	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g002023	0	1	0	0	1	0	1	1	1	0	0	1	1	0	1	1	0	1
g002024	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g002025	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0
g002026	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
g002027	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002028	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002029	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0
g002030	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002031	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002032	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002033	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002034	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
g002035	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002036	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002037	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002038	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002039	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002040	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002041	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002042	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002043	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002044	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002045	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002046	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
g002047	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
g002048	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0
g002049	1	1	0	0	0	1	0	1	0	1	1	0	1	0	1	0	0	0
g002050	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
g002051	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002052	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0
g002053	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002054	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002055	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002056	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002057	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002058	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002059	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002060	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002061	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002062	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
g002063	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002064	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002065	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002066	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g002067	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
g002068	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002069	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002070	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
g002071	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g002072	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
g002073	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002074	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
g002075	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g002076	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
g002077	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
g002078	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
g002079	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
g002080	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1
g002081	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
g002082	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002083	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002084	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002085	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0
g002086	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
g002087	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g002088	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0
g002089	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002090	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002091	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002092	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g002093	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0
g002094	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g002095	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002096	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002097	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0	1
g002098	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002099	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
g002100	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
g002101	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g002102	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g002103	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g002104	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
g002105	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0
g002106	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g002107	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g002108	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1
g002109	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0
g002110	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0
g002111	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0
g002112	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0
g002113	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0
g002114	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002115	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002116	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002117	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002118	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002119	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002120	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002121	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002122	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002123	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002124	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002125	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002126	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002127	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002128	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002129	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002130	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002131	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1
g002132	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002133	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g002134	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0
g002135	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0
g002136	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0
g002137	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0
g002138	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
g002139	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	1	0	0
g002140	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g002141	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
g002142	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002143	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0
g002144	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g002145	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g002146	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
g002147	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002148	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
g002149	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
g002150	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
g002151	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
g002152	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002153	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
g002154	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
g002155	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002156	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002157	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g002158	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g002159	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g002160	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
g002161	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g002162	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1
g002163	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g002164	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
g002165	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0
g002166	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0
g002167	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g002168	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
g002169	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g002170	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g002171	0	1	1	1	1	0	1	1	1	0	0	1	0	1	0	0	1	1
