assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	assembly_level	genome_rep	seq_rel_date	asm_name	ftp_path
GCF_000390805.1	PRJNA224116	SAMN00792306	AIIZ00000000.1	na	1151201	1351	Enterococcus faecalis EnGen0060	strain=7330257-1	Scaffold	Full	5/13/13	Ente_faec_7330257-1_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/805/GCF_000390805.1_Ente_faec_7330257-1_V1
GCF_000390825.1	PRJNA224116	SAMN00792307	AIJA00000000.1	na	1151202	1351	Enterococcus faecalis EnGen0081	strain=7330259-5	Scaffold	Full	5/14/13	Ente_faec_7330259-5_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/825/GCF_000390825.1_Ente_faec_7330259-5_V1
GCF_000390845.1	PRJNA224116	SAMN00792309	AIJC00000000.1	na	1151204	1351	Enterococcus faecalis EnGen0082	strain=7330948-5	Scaffold	Full	5/14/13	Ente_faec_7330948-5_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/845/GCF_000390845.1_Ente_faec_7330948-5_V1
GCF_000390865.1	PRJNA224116	SAMN00792311	AIJD00000000.1	na	1151205	1351	Enterococcus faecalis EnGen0083	strain=7430275-3	Scaffold	Full	5/14/13	Ente_faec_7430275-3_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/865/GCF_000390865.1_Ente_faec_7430275-3_V1
GCF_000390885.1	PRJNA224116	SAMN00792312	AIJE00000000.1	na	1151206	1351	Enterococcus faecalis EnGen0084	strain=7430315-3	Scaffold	Full	5/14/13	Ente_faec_7430315-3_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/885/GCF_000390885.1_Ente_faec_7430315-3_V1
GCF_000390905.1	PRJNA224116	SAMN00792313	AIJF00000000.1	na	1151207	1351	Enterococcus faecalis EnGen0071	strain=7430416-3	Scaffold	Full	5/14/13	Ente_faec_7430416-3_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/905/GCF_000390905.1_Ente_faec_7430416-3_V1
GCF_000390925.1	PRJNA224116	SAMN00792314	AIJG00000000.1	na	1151208	1351	Enterococcus faecalis EnGen0072	strain=7430821-4	Scaffold	Full	5/14/13	Ente_faec_7430821-4_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/925/GCF_000390925.1_Ente_faec_7430821-4_V1
GCF_000390945.1	PRJNA224116	SAMN00792315	AIJH00000000.1	na	1151209	1351	Enterococcus faecalis EnGen0067	strain=B1290	Scaffold	Full	5/14/13	Ente_faec_B1290_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/945/GCF_000390945.1_Ente_faec_B1290_V1
GCF_000390965.1	PRJNA224116	SAMN00792316	AIJI00000000.1	na	1151210	1351	Enterococcus faecalis EnGen0068	strain=B1327	Scaffold	Full	5/14/13	Ente_faec_B1327_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/965/GCF_000390965.1_Ente_faec_B1327_V1
GCF_000390985.1	PRJNA224116	SAMN00792317	AIJJ00000000.1	na	1151211	1351	Enterococcus faecalis EnGen0069	strain=B1376	Scaffold	Full	5/14/13	Ente_faec_B1376_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/985/GCF_000390985.1_Ente_faec_B1376_V1
GCF_000391005.1	PRJNA224116	SAMN00792318	AIJK00000000.1	na	1151212	1351	Enterococcus faecalis EnGen0070	strain=B1385	Scaffold	Full	5/14/13	Ente_faec_B1385_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/005/GCF_000391005.1_Ente_faec_B1385_V1
GCF_000391025.1	PRJNA224116	SAMN00808868	AIPV00000000.1	na	1157342	1351	Enterococcus faecalis EnGen0106	strain=B1441	Scaffold	Full	5/14/13	Ente_faec_B1441_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/025/GCF_000391025.1_Ente_faec_B1441_V1
GCF_000391045.1	PRJNA224116	SAMN00808924	AIPW00000000.1	na	1157343	1351	Enterococcus faecalis EnGen0088	strain=B1505	Scaffold	Full	5/14/13	Ente_faec_B1505_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/045/GCF_000391045.1_Ente_faec_B1505_V1
GCF_000391065.1	PRJNA224116	SAMN00808935	AIPX00000000.1	na	1157344	1351	Enterococcus faecalis EnGen0120	strain=B1532	Scaffold	Full	5/14/13	Ente_faec_B1532_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/065/GCF_000391065.1_Ente_faec_B1532_V1
GCF_000391085.1	PRJNA224116	SAMN00808946	AIPY00000000.1	na	1157345	1351	Enterococcus faecalis EnGen0089	strain=B1586	Scaffold	Full	5/14/13	Ente_faec_B1586_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/085/GCF_000391085.1_Ente_faec_B1586_V1
GCF_000391105.1	PRJNA224116	SAMN00808957	AIPZ00000000.1	na	1157346	1351	Enterococcus faecalis EnGen0090	strain=B1618	Scaffold	Full	5/14/13	Ente_faec_B1618_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/105/GCF_000391105.1_Ente_faec_B1618_V1
GCF_000391125.1	PRJNA224116	SAMN00808968	AIQA00000000.1	na	1157347	1351	Enterococcus faecalis EnGen0109	strain=B1623	Scaffold	Full	5/14/13	Ente_faec_B1623_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/125/GCF_000391125.1_Ente_faec_B1623_V1
GCF_000391145.1	PRJNA224116	SAMN00808979	AIQB00000000.1	na	1157348	1351	Enterococcus faecalis EnGen0110	strain=B1678	Scaffold	Full	5/14/13	Ente_faec_B1678_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/145/GCF_000391145.1_Ente_faec_B1678_V1
GCF_000391165.1	PRJNA224116	SAMN00808990	AIQC00000000.1	na	1157349	1351	Enterococcus faecalis EnGen0091	strain=B1696	Scaffold	Full	5/14/13	Ente_faec_B1696_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/165/GCF_000391165.1_Ente_faec_B1696_V1
GCF_000391185.1	PRJNA224116	SAMN00809001	AIQD00000000.1	na	1157350	1351	Enterococcus faecalis EnGen0092	strain=B1719	Scaffold	Full	5/14/13	Ente_faec_B1719_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/185/GCF_000391185.1_Ente_faec_B1719_V1
GCF_000391205.1	PRJNA224116	SAMN00808869	AIQE00000000.1	na	1157351	1351	Enterococcus faecalis EnGen0085	strain=B1734	Scaffold	Full	5/14/13	Ente_faec_B1734_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/205/GCF_000391205.1_Ente_faec_B1734_V1
GCF_000391225.1	PRJNA224116	SAMN00808880	AIQF00000000.1	na	1157352	1351	Enterococcus faecalis EnGen0111	strain=B1843	Scaffold	Full	5/14/13	Ente_faec_B1843_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/225/GCF_000391225.1_Ente_faec_B1843_V1
GCF_000391245.1	PRJNA224116	SAMN00808891	AIQH00000000.1	na	1157353	1351	Enterococcus faecalis EnGen0119	strain=B1874	Scaffold	Full	5/14/13	Ente_faec_B1874_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/245/GCF_000391245.1_Ente_faec_B1874_V1
GCF_000391265.1	PRJNA224116	SAMN00808902	AIQL00000000.1	na	1157354	1351	Enterococcus faecalis EnGen0093	strain=B2207	Scaffold	Full	5/14/13	Ente_faec_B2207_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/265/GCF_000391265.1_Ente_faec_B2207_V1
GCF_000391285.1	PRJNA224116	SAMN00808913	AIQN00000000.1	na	1157355	1351	Enterococcus faecalis EnGen0094	strain=B2255	Scaffold	Full	5/14/13	Ente_faec_B2255_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/285/GCF_000391285.1_Ente_faec_B2255_V1
GCF_000391305.1	PRJNA224116	SAMN00808919	AIQP00000000.1	na	1157356	1351	Enterococcus faecalis EnGen0095	strain=B2391	Scaffold	Full	5/14/13	Ente_faec_B2391_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/305/GCF_000391305.1_Ente_faec_B2391_V1
GCF_000391325.1	PRJNA224116	SAMN00808920	AIQQ00000000.1	na	1157357	1351	Enterococcus faecalis EnGen0096	strain=B2488	Scaffold	Full	5/14/13	Ente_faec_B2488_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/325/GCF_000391325.1_Ente_faec_B2488_V1
GCF_000391345.1	PRJNA224116	SAMN00808921	AIQR00000000.1	na	1157358	1351	Enterococcus faecalis EnGen0097	strain=B2535	Scaffold	Full	5/14/13	Ente_faec_B2535_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/345/GCF_000391345.1_Ente_faec_B2535_V1
GCF_000391365.1	PRJNA224116	SAMN00808922	AIQS00000000.1	na	1157359	1351	Enterococcus faecalis EnGen0112	strain=B2557	Scaffold	Full	5/14/13	Ente_faec_B2557_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/365/GCF_000391365.1_Ente_faec_B2557_V1
GCF_000391385.1	PRJNA224116	SAMN00808923	AIQT00000000.1	na	1157360	1351	Enterococcus faecalis EnGen0098	strain=B2593	Scaffold	Full	5/14/13	Ente_faec_B2593_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/385/GCF_000391385.1_Ente_faec_B2593_V1
GCF_000391405.1	PRJNA224116	SAMN00808925	AIRC00000000.1	na	1157361	1351	Enterococcus faecalis EnGen0099	strain=B3031	Scaffold	Full	5/14/13	Ente_faec_B3031_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/405/GCF_000391405.1_Ente_faec_B3031_V1
GCF_000391425.1	PRJNA224116	SAMN00808926	AIRD00000000.1	na	1157362	1351	Enterococcus faecalis EnGen0113	strain=B3042	Scaffold	Full	5/14/13	Ente_faec_B3042_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/425/GCF_000391425.1_Ente_faec_B3042_V1
GCF_000391445.1	PRJNA224116	SAMN00808927	AIRE00000000.1	na	1157363	1351	Enterococcus faecalis EnGen0114	strain=B3053	Scaffold	Full	5/14/13	Ente_faec_B3053_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/445/GCF_000391445.1_Ente_faec_B3053_V1
GCF_000391465.1	PRJNA224116	SAMN00808928	AIRG00000000.1	na	1157364	1351	Enterococcus faecalis EnGen0100	strain=B3126	Scaffold	Full	5/14/13	Ente_faec_B3126_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/465/GCF_000391465.1_Ente_faec_B3126_V1
GCF_000391485.1	PRJNA224116	SAMN00808929	AIRY00000000.1	na	1157365	1351	Enterococcus faecalis EnGen0107	strain=B594	Scaffold	Full	5/14/13	Ente_faec_B594_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/485/GCF_000391485.1_Ente_faec_B594_V1
GCF_000391505.1	PRJNA224116	SAMN00808930	AIRZ00000000.1	na	1157366	1351	Enterococcus faecalis EnGen0087	strain=B878	Scaffold	Full	5/14/13	Ente_faec_B878_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/505/GCF_000391505.1_Ente_faec_B878_V1
GCF_000391525.1	PRJNA224116	SAMN00808931	AISA00000000.1	na	1157367	1351	Enterococcus faecalis EnGen0108	strain=B939	Scaffold	Full	5/14/13	Ente_faec_B939_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/525/GCF_000391525.1_Ente_faec_B939_V1
GCF_000391545.1	PRJNA224116	SAMN00808932	AISB00000000.1	na	1157368	1351	Enterococcus faecalis EnGen0086	strain=HEF39	Scaffold	Full	5/14/13	Ente_faec_HEF39_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/545/GCF_000391545.1_Ente_faec_HEF39_V1
GCF_000391565.1	PRJNA224116	SAMN00808933	AISC00000000.1	na	1157369	1351	Enterococcus faecalis EnGen0115	strain=UAA769	Scaffold	Full	5/14/13	Ente_faec_UAA769_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/565/GCF_000391565.1_Ente_faec_UAA769_V1
GCF_000391585.1	PRJNA224116	SAMN00808934	AISD00000000.1	na	1157370	1351	Enterococcus faecalis EnGen0101	strain=UAA823	Scaffold	Full	5/14/13	Ente_faec_UAA823_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/585/GCF_000391585.1_Ente_faec_UAA823_V1
GCF_000391605.1	PRJNA224116	SAMN00808936	AISE00000000.1	na	1157371	1351	Enterococcus faecalis EnGen0102	strain=UAA902	Scaffold	Full	5/14/13	Ente_faec_UAA902_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/605/GCF_000391605.1_Ente_faec_UAA902_V1
GCF_000391625.1	PRJNA224116	SAMN00808937	AISF00000000.1	na	1157372	1351	Enterococcus faecalis EnGen0103	strain=UAA903	Scaffold	Full	5/14/13	Ente_faec_UAA903_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/625/GCF_000391625.1_Ente_faec_UAA903_V1
GCF_000391645.1	PRJNA224116	SAMN00808938	AISG00000000.1	na	1157373	1351	Enterococcus faecalis EnGen0104	strain=UAA904	Scaffold	Full	5/14/13	Ente_faec_UAA904_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/645/GCF_000391645.1_Ente_faec_UAA904_V1
GCF_000391665.1	PRJNA224116	SAMN00808939	AISH00000000.1	na	1157374	1351	Enterococcus faecalis EnGen0105	strain=UAA905	Scaffold	Full	5/14/13	Ente_faec_UAA905_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/665/GCF_000391665.1_Ente_faec_UAA905_V1
GCF_000391685.1	PRJNA224116	SAMN00808940	AISI00000000.1	na	1157375	1351	Enterococcus faecalis EnGen0116	strain=UAA906	Scaffold	Full	5/14/13	Ente_faec_UAA906_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/685/GCF_000391685.1_Ente_faec_UAA906_V1
GCF_000391705.1	PRJNA224116	SAMN00808941	AISJ00000000.1	na	1157376	1351	Enterococcus faecalis EnGen0117	strain=UAA907	Scaffold	Full	5/14/13	Ente_faec_UAA907_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/705/GCF_000391705.1_Ente_faec_UAA907_V1
GCF_000391725.1	PRJNA224116	SAMN00808942	AISK00000000.1	na	1157377	1351	Enterococcus faecalis EnGen0118	strain=UAA943	Scaffold	Full	5/14/13	Ente_faec_UAA943_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/391/725/GCF_000391725.1_Ente_faec_UAA943_V1
GCF_000392675.1	PRJNA224116	SAMN00839771	ASEN00000000.1	na	1169251	1351	Enterococcus faecalis EnGen0332	strain=SF350	Scaffold	Full	5/14/13	Ente_faec_SF350_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/675/GCF_000392675.1_Ente_faec_SF350_V1
GCF_000392755.1	PRJNA224116	SAMN00847596	ASCU00000000.1	na	1169280	1351	Enterococcus faecalis EnGen0341	strain=SF6375	Scaffold	Full	5/14/13	Ente_faec_SF6375_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/755/GCF_000392755.1_Ente_faec_SF6375_V1
GCF_000392775.1	PRJNA224116	SAMN00847597	ASCV00000000.1	na	1169281	1351	Enterococcus faecalis EnGen0366	strain=599951	Scaffold	Full	5/14/13	Ente_faec_599951_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/775/GCF_000392775.1_Ente_faec_599951_V1
GCF_000392795.1	PRJNA224116	SAMN00847598	ASCW00000000.1	na	1169282	1351	Enterococcus faecalis EnGen0344	strain=12030	Scaffold	Full	5/14/13	Ente_faec_12030_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/795/GCF_000392795.1_Ente_faec_12030_V1
GCF_000392815.1	PRJNA224116	SAMN00847599	ASCX00000000.1	na	1169283	1351	Enterococcus faecalis EnGen0361	strain=79-3	Scaffold	Full	5/14/13	Ente_faec_79-3_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/815/GCF_000392815.1_Ente_faec_79-3_V1
GCF_000392835.1	PRJNA224116	SAMN00847600	ASCY00000000.1	na	1169284	1351	Enterococcus faecalis EnGen0345	strain=E99	Scaffold	Full	5/14/13	Ente_faec_E99_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/835/GCF_000392835.1_Ente_faec_E99_V1
GCF_000392855.1	PRJNA224116	SAMN00847601	ASCZ00000000.1	na	1169285	1351	Enterococcus faecalis EnGen0346	strain=T20	Scaffold	Full	5/14/13	Ente_faec_T20_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/855/GCF_000392855.1_Ente_faec_T20_V1
GCF_000392875.1	PRJNA224116	SAMN00847602	ASDA00000000.1	na	1169286	1351	Enterococcus faecalis ATCC 19433	strain=ATCC 19433	Scaffold	Full	5/14/13	Ente_faec_ATCC_19433_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/875/GCF_000392875.1_Ente_faec_ATCC_19433_V1
GCF_000392895.1	PRJNA224116	SAMN00847603	ASDB00000000.1	na	1169287	1351	Enterococcus faecalis EnGen0362	strain=T12	Scaffold	Full	5/14/13	Ente_faec_T12_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/895/GCF_000392895.1_Ente_faec_T12_V1
GCF_000392915.1	PRJNA224116	SAMN00847604	ASDC00000000.1	na	1169288	1351	Enterococcus faecalis EnGen0348	strain=D3	Scaffold	Full	5/14/13	Ente_faec_D3_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/915/GCF_000392915.1_Ente_faec_D3_V1
GCF_000392935.1	PRJNA224116	SAMN00847605	ASDD00000000.1	na	1169289	1351	Enterococcus faecalis EnGen0363	strain=RMC5	Scaffold	Full	5/14/13	Ente_faec_RMC5_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/935/GCF_000392935.1_Ente_faec_RMC5_V1
GCF_000392955.1	PRJNA224116	SAMN00847606	ASDE00000000.1	na	1169290	1351	Enterococcus faecalis ATCC 35038	strain=ATCC 35038	Scaffold	Full	5/14/13	Ente_faec_ATCC_35038_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/955/GCF_000392955.1_Ente_faec_ATCC_35038_V1
GCF_000392975.1	PRJNA224116	SAMN00847607	ASDF00000000.1	na	1169291	1351	Enterococcus faecalis EnGen0364	strain=T6	Scaffold	Full	5/14/13	Ente_faec_T6_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/975/GCF_000392975.1_Ente_faec_T6_V1
GCF_000392995.1	PRJNA224116	SAMN00847608	ASDG00000000.1	na	1169292	1351	Enterococcus faecalis EnGen0350	strain=T17	Scaffold	Full	5/14/13	Ente_faec_T17_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/995/GCF_000392995.1_Ente_faec_T17_V1
GCF_000393015.1	PRJNA224116	SAMN00847609	ASDH00000000.1	na	1169293	1351	Enterococcus faecalis EnGen0336	strain=T5	Scaffold	Full	5/14/13	Ente_faec_T5_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/393/015/GCF_000393015.1_Ente_faec_T5_V1
GCF_000393035.1	PRJNA224116	SAMN00847610	ASDI00000000.1	na	1169294	1351	Enterococcus faecalis EnGen0351	strain=T9	Scaffold	Full	5/14/13	Ente_faec_T9_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/393/035/GCF_000393035.1_Ente_faec_T9_V1
GCF_000393055.1	PRJNA224116	SAMN00847611	ASDJ00000000.1	na	1169295	1351	Enterococcus faecalis EnGen0352	strain=T10	Scaffold	Full	5/14/13	Ente_faec_T10_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/393/055/GCF_000393055.1_Ente_faec_T10_V1
GCF_000393075.1	PRJNA224116	SAMN00847612	ASDK00000000.1	na	1169296	1351	Enterococcus faecalis EnGen0337	strain=T18	Scaffold	Full	5/14/13	Ente_faec_T18_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/393/075/GCF_000393075.1_Ente_faec_T18_V1
GCF_000393095.1	PRJNA224116	SAMN00847613	ASDL00000000.1	na	1169297	1351	Enterococcus faecalis EnGen0365	strain=F1	Scaffold	Full	5/14/13	Ente_faec_F1_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/393/095/GCF_000393095.1_Ente_faec_F1_V1
GCF_000393115.1	PRJNA224116	SAMN00847614	ASDM00000000.1	na	1169298	1351	Enterococcus faecalis EnGen0342	strain=SS-7	Scaffold	Full	5/14/13	Ente_faec_SS-7_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/393/115/GCF_000393115.1_Ente_faec_SS-7_V1
GCF_000393135.1	PRJNA224116	SAMN00847615	ASDN00000000.1	na	1169299	1351	Enterococcus faecalis EnGen0354	strain=RMC1	Scaffold	Full	5/14/13	Ente_faec_RMC1_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/393/135/GCF_000393135.1_Ente_faec_RMC1_V1
GCF_000393155.1	PRJNA224116	SAMN00847616	ASDO00000000.1	na	1169300	1351	Enterococcus faecalis EnGen0355	strain=T19	Scaffold	Full	5/14/13	Ente_faec_T19_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/393/155/GCF_000393155.1_Ente_faec_T19_V1
GCF_000393175.1	PRJNA224116	SAMN00847617	ASDP00000000.1	na	1169301	1351	Enterococcus faecalis EnGen0369	strain=39-5	Scaffold	Full	5/14/13	Ente_faec_39-5_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/393/175/GCF_000393175.1_Ente_faec_39-5_V1
GCF_000393195.1	PRJNA224116	SAMN00847618	ASDQ00000000.1	na	1169302	1351	Enterococcus faecalis EnGen0356	strain=B-4-111	Scaffold	Full	5/14/13	Ente_faec_B-4-111_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/393/195/GCF_000393195.1_Ente_faec_B-4-111_V1
GCF_000393215.1	PRJNA224116	SAMN00847619	ASDR00000000.1	na	1169303	1351	Enterococcus faecalis EnGen0357	strain=Fly 2	Scaffold	Full	5/14/13	Ente_faec_Fly_2_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/393/215/GCF_000393215.1_Ente_faec_Fly_2_V1
GCF_000393235.1	PRJNA224116	SAMN00847620	ASDS00000000.1	na	1169304	1351	Enterococcus faecalis EnGen0358	strain=Merz151	Scaffold	Full	5/14/13	Ente_faec_Merz151_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/393/235/GCF_000393235.1_Ente_faec_Merz151_V1
GCF_000393255.1	PRJNA224116	SAMN00847621	ASDT00000000.1	na	1169305	1351	Enterococcus faecalis EnGen0370	strain=SF339	Scaffold	Full	5/14/13	Ente_faec_SF339_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/393/255/GCF_000393255.1_Ente_faec_SF339_V1
GCF_000393275.1	PRJNA224116	SAMN00847622	ASDU00000000.1	na	1169306	1351	Enterococcus faecalis EnGen0368	strain=Com7	Scaffold	Full	5/14/13	Ente_faec_Com7_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/393/275/GCF_000393275.1_Ente_faec_Com7_V1
GCF_000393295.1	PRJNA224116	SAMN00847623	ASDV00000000.1	na	1169307	1351	Enterococcus faecalis EnGen0359	strain=TR197	Scaffold	Full	5/14/13	Ente_faec_TR197_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/393/295/GCF_000393295.1_Ente_faec_TR197_V1
GCF_000393315.1	PRJNA224116	SAMN00847624	ASDW00000000.1	na	1169308	1351	Enterococcus faecalis EnGen0360	strain=RMC65	Scaffold	Full	5/14/13	Ente_faec_RMC65_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/393/315/GCF_000393315.1_Ente_faec_RMC65_V1
GCF_000393335.1	PRJNA224116	SAMN00847625	ASDX00000000.1	na	1169309	1351	Enterococcus faecalis EnGen0340	strain=B653	Scaffold	Full	5/14/13	Ente_faec_B653_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/393/335/GCF_000393335.1_Ente_faec_B653_V1
GCF_000393355.1	PRJNA224116	SAMN00847626	ASDY00000000.1	na	1169310	1351	Enterococcus faecalis EnGen0367	strain=D173	Scaffold	Full	5/14/13	Ente_faec_D173_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/393/355/GCF_000393355.1_Ente_faec_D173_V1
GCF_000393375.1	PRJNA224116	SAMN00847627	ASDZ00000000.1	na	1169311	1351	Enterococcus faecalis ATCC 6055	strain=ATCC 6055	Scaffold	Full	5/14/13	Ente_faec_ATCC_6055_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/393/375/GCF_000393375.1_Ente_faec_ATCC_6055_V1
GCF_000393395.1	PRJNA224116	SAMN00847628	ASEA00000000.1	na	1169312	1351	Enterococcus faecalis ATCC 10100	strain=ATCC 10100	Scaffold	Full	5/14/13	Ente_faec_ATCC_10100_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/393/395/GCF_000393395.1_Ente_faec_ATCC_10100_V1
GCF_000393455.1	PRJNA224116	SAMN00847631	ASED00000000.1	na	1169313	1351	Enterococcus faecalis EnGen0338	strain=SF21520	Scaffold	Full	5/14/13	Ente_faec_SF21520_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/393/455/GCF_000393455.1_Ente_faec_SF21520_V1
GCF_000393475.1	PRJNA224116	SAMN00847632	ASEE00000000.1	na	1169314	1351	Enterococcus faecalis EnGen0339	strain=TR161	Scaffold	Full	5/14/13	Ente_faec_TR161_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/393/475/GCF_000393475.1_Ente_faec_TR161_V1
GCF_000393495.1	PRJNA224116	SAMN00839763	ASEF00000000.1	na	1169246	1351	Enterococcus faecalis EnGen0327	strain=A-3-1	Scaffold	Full	5/14/13	Ente_faec_A-3-1_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/393/495/GCF_000393495.1_Ente_faec_A-3-1_V1
GCF_000393515.1	PRJNA224116	SAMN00839764	ASEG00000000.1	na	1169250	1351	Enterococcus faecalis EnGen0331	strain=Merz89	Scaffold	Full	5/14/13	Ente_faec_Merz89_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/393/515/GCF_000393515.1_Ente_faec_Merz89_V1
